"group_uid","player.treatment","subsession.round_number","manager","player.price"
"bothe_1__g5","M_exp_W_exp",18,"M_exp",284
"bothe_2__g1","M_exp_W_exp",18,"M_exp",185
"bothe_2__g2","M_exp_W_exp",18,"M_exp",150
"bothe_2__g3","M_exp_W_exp",18,"M_exp",147
"bothe_2__g4","M_exp_W_exp",18,"M_exp",125
"bothe_2__g5","M_exp_W_exp",18,"M_exp",120
"MeWno_1__g1","M_exp_W_no",19,"M_exp",345
"MeWno_1__g2","M_exp_W_no",19,"M_exp",405
"MeWno_1__g3","M_exp_W_no",19,"M_exp",250
"MeWno_1__g4","M_exp_W_no",19,"M_exp",235
"MeWno_1__g5","M_exp_W_no",19,"M_exp",184
"MeWno_2__g1","M_exp_W_no",19,"M_exp",110
"MeWno_2__g2","M_exp_W_no",19,"M_exp",350
"MeWno_2__g3","M_exp_W_no",19,"M_exp",267
"MeWno_2__g4","M_exp_W_no",19,"M_exp",311
"MeWno_2__g5","M_exp_W_no",19,"M_exp",460
"bothe_1__g1","M_exp_W_exp",19,"M_exp",208
"bothe_1__g2","M_exp_W_exp",19,"M_exp",300
"bothe_1__g3","M_exp_W_exp",19,"M_exp",190
"bothe_1__g4","M_exp_W_exp",19,"M_exp",290
"bothe_1__g5","M_exp_W_exp",19,"M_exp",284
"bothe_2__g1","M_exp_W_exp",19,"M_exp",200
"bothe_2__g2","M_exp_W_exp",19,"M_exp",140
"bothe_2__g3","M_exp_W_exp",19,"M_exp",148
"bothe_2__g4","M_exp_W_exp",19,"M_exp",125
"bothe_2__g5","M_exp_W_exp",19,"M_exp",120
"MeWno_1__g1","M_exp_W_no",20,"M_exp",100
"MeWno_1__g2","M_exp_W_no",20,"M_exp",399
"MeWno_1__g3","M_exp_W_no",20,"M_exp",250
"MeWno_1__g4","M_exp_W_no",20,"M_exp",246
"MeWno_1__g5","M_exp_W_no",20,"M_exp",175
"MeWno_2__g1","M_exp_W_no",20,"M_exp",104
"MeWno_2__g2","M_exp_W_no",20,"M_exp",350
"MeWno_2__g3","M_exp_W_no",20,"M_exp",268
"MeWno_2__g4","M_exp_W_no",20,"M_exp",300
"MeWno_2__g5","M_exp_W_no",20,"M_exp",462
"bothe_1__g1","M_exp_W_exp",20,"M_exp",190
"bothe_1__g2","M_exp_W_exp",20,"M_exp",300
"bothe_1__g3","M_exp_W_exp",20,"M_exp",194
"bothe_1__g4","M_exp_W_exp",20,"M_exp",290
"bothe_1__g5","M_exp_W_exp",20,"M_exp",286
"bothe_2__g1","M_exp_W_exp",20,"M_exp",205
"bothe_2__g2","M_exp_W_exp",20,"M_exp",100
"bothe_2__g3","M_exp_W_exp",20,"M_exp",148
"bothe_2__g4","M_exp_W_exp",20,"M_exp",125
"bothe_2__g5","M_exp_W_exp",20,"M_exp",120
"bothno_1__g1","M_no_W_no",11,"M_no",110
"bothno_1__g2","M_no_W_no",11,"M_no",110
"bothno_1__g3","M_no_W_no",11,"M_no",300
"bothno_1__g4","M_no_W_no",11,"M_no",200
"bothno_1__g5","M_no_W_no",11,"M_no",150
"botno_2__g1","M_no_W_no",11,"M_no",100
"botno_2__g2","M_no_W_no",11,"M_no",100
"botno_2__g3","M_no_W_no",11,"M_no",150
"botno_2__g4","M_no_W_no",11,"M_no",200
"botno_2__g5","M_no_W_no",11,"M_no",250
"MnoWe_1__g1","M_no_W_exp",11,"M_no",121
"MnoWe_1__g2","M_no_W_exp",11,"M_no",55
"MnoWe_1__g3","M_no_W_exp",11,"M_no",100
"MnoWe_1__g4","M_no_W_exp",11,"M_no",100
"MnoWe_1__g5","M_no_W_exp",11,"M_no",100
"MnoWe_2__g1","M_no_W_exp",11,"M_no",100
"MnoWe_2__g2","M_no_W_exp",11,"M_no",240
"MnoWe_2__g3","M_no_W_exp",11,"M_no",150
"MnoWe_2__g4","M_no_W_exp",11,"M_no",10
"MnoWe_2__g5","M_no_W_exp",11,"M_no",244
"bothno_1__g1","M_no_W_no",12,"M_no",110
"bothno_1__g2","M_no_W_no",12,"M_no",110
"bothno_1__g3","M_no_W_no",12,"M_no",300
"bothno_1__g4","M_no_W_no",12,"M_no",179
"bothno_1__g5","M_no_W_no",12,"M_no",160
"botno_2__g1","M_no_W_no",12,"M_no",125
"botno_2__g2","M_no_W_no",12,"M_no",100
"botno_2__g3","M_no_W_no",12,"M_no",151
"botno_2__g4","M_no_W_no",12,"M_no",200
"botno_2__g5","M_no_W_no",12,"M_no",290
"MnoWe_1__g1","M_no_W_exp",12,"M_no",120
"MnoWe_1__g2","M_no_W_exp",12,"M_no",55
"MnoWe_1__g3","M_no_W_exp",12,"M_no",110
"MnoWe_1__g4","M_no_W_exp",12,"M_no",105
"MnoWe_1__g5","M_no_W_exp",12,"M_no",111
"MnoWe_2__g1","M_no_W_exp",12,"M_no",101
"MnoWe_2__g2","M_no_W_exp",12,"M_no",220
"MnoWe_2__g3","M_no_W_exp",12,"M_no",100
"MnoWe_2__g4","M_no_W_exp",12,"M_no",20
"MnoWe_2__g5","M_no_W_exp",12,"M_no",245
"bothno_1__g1","M_no_W_no",13,"M_no",150
"bothno_1__g2","M_no_W_no",13,"M_no",110
"bothno_1__g3","M_no_W_no",13,"M_no",300
"bothno_1__g4","M_no_W_no",13,"M_no",160
"bothno_1__g5","M_no_W_no",13,"M_no",160
"botno_2__g1","M_no_W_no",13,"M_no",130
"botno_2__g2","M_no_W_no",13,"M_no",100
"botno_2__g3","M_no_W_no",13,"M_no",152
"botno_2__g4","M_no_W_no",13,"M_no",204
"botno_2__g5","M_no_W_no",13,"M_no",300
"MnoWe_1__g1","M_no_W_exp",13,"M_no",119
"MnoWe_1__g2","M_no_W_exp",13,"M_no",55
"MnoWe_1__g3","M_no_W_exp",13,"M_no",105
"MnoWe_1__g4","M_no_W_exp",13,"M_no",105
"MnoWe_1__g5","M_no_W_exp",13,"M_no",133
"MnoWe_2__g1","M_no_W_exp",13,"M_no",102
"MnoWe_2__g2","M_no_W_exp",13,"M_no",215
"MnoWe_2__g3","M_no_W_exp",13,"M_no",60
"MnoWe_2__g4","M_no_W_exp",13,"M_no",15
"MnoWe_2__g5","M_no_W_exp",13,"M_no",244
"bothno_1__g1","M_no_W_no",14,"M_no",150
"bothno_1__g2","M_no_W_no",14,"M_no",110
"bothno_1__g3","M_no_W_no",14,"M_no",250
"bothno_1__g4","M_no_W_no",14,"M_no",150
"bothno_1__g5","M_no_W_no",14,"M_no",150
"botno_2__g1","M_no_W_no",14,"M_no",155
"botno_2__g2","M_no_W_no",14,"M_no",90
"botno_2__g3","M_no_W_no",14,"M_no",153
"botno_2__g4","M_no_W_no",14,"M_no",201
"botno_2__g5","M_no_W_no",14,"M_no",310
"MnoWe_1__g1","M_no_W_exp",14,"M_no",115
"MnoWe_1__g2","M_no_W_exp",14,"M_no",55
"MnoWe_1__g3","M_no_W_exp",14,"M_no",98
"MnoWe_1__g4","M_no_W_exp",14,"M_no",105
"MnoWe_1__g5","M_no_W_exp",14,"M_no",150
"MnoWe_2__g1","M_no_W_exp",14,"M_no",103
"MnoWe_2__g2","M_no_W_exp",14,"M_no",220
"MnoWe_2__g3","M_no_W_exp",14,"M_no",70
"MnoWe_2__g4","M_no_W_exp",14,"M_no",20
"MnoWe_2__g5","M_no_W_exp",14,"M_no",245
"bothno_1__g1","M_no_W_no",15,"M_no",150
"bothno_1__g2","M_no_W_no",15,"M_no",110
"bothno_1__g3","M_no_W_no",15,"M_no",255
"bothno_1__g4","M_no_W_no",15,"M_no",130
"bothno_1__g5","M_no_W_no",15,"M_no",150
"botno_2__g1","M_no_W_no",15,"M_no",175
"botno_2__g2","M_no_W_no",15,"M_no",100
"botno_2__g3","M_no_W_no",15,"M_no",154
"botno_2__g4","M_no_W_no",15,"M_no",206
"botno_2__g5","M_no_W_no",15,"M_no",313
"MnoWe_1__g1","M_no_W_exp",15,"M_no",90
"MnoWe_1__g2","M_no_W_exp",15,"M_no",56
"MnoWe_1__g3","M_no_W_exp",15,"M_no",95
"MnoWe_1__g4","M_no_W_exp",15,"M_no",104
"MnoWe_1__g5","M_no_W_exp",15,"M_no",150
"MnoWe_2__g1","M_no_W_exp",15,"M_no",104
"MnoWe_2__g2","M_no_W_exp",15,"M_no",215
"MnoWe_2__g3","M_no_W_exp",15,"M_no",70
"MnoWe_2__g4","M_no_W_exp",15,"M_no",25
"MnoWe_2__g5","M_no_W_exp",15,"M_no",244
"bothno_1__g1","M_no_W_no",16,"M_no",150
"bothno_1__g2","M_no_W_no",16,"M_no",111
"bothno_1__g3","M_no_W_no",16,"M_no",245
"bothno_1__g4","M_no_W_no",16,"M_no",100
"bothno_1__g5","M_no_W_no",16,"M_no",150
"botno_2__g1","M_no_W_no",16,"M_no",190
"botno_2__g2","M_no_W_no",16,"M_no",100
"botno_2__g3","M_no_W_no",16,"M_no",155
"botno_2__g4","M_no_W_no",16,"M_no",205
"botno_2__g5","M_no_W_no",16,"M_no",300
