"participant.code","player.treatment","source_file","source_folder","group_uid","player.belief_inv","player.belief_price","player.belief_others_inv","player.belief_others_price","manager"
"6rdutaoz","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g4",110,400,100,400,"exp"
"21anldsa","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g5",200,600,150,450,"exp"
"3mjtjuou","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g5",100,500,100,400,"exp"
"5jtwpe9d","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g5",40,200,50,300,"exp"
"s16bmsk2","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g5",30,100,40,200,"exp"
"sjw641j3","M_no_W_no","portfolio_2026-09-16.csv","bothno_1","bothno_1__g5",150,430,150,400,"exp"
"o7pccht6","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g1",160,300,170,400,"exp"
"xlysi5bz","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g1",15,200,15,200,"exp"
"ktzkk4b7","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g1",100,250,75,250,"exp"
"unt4hlph","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g1",160,400,170,500,"exp"
"e3o1p3e6","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g1",190,500,170,450,"exp"
"0nzm25g8","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g2",75,200,60,200,"exp"
"f8ff6plt","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g2",170,510,180,575,"exp"
"poc3kn08","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g2",150,400,200,450,"exp"
"z9zrwosz","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g2",75,250,115,300,"exp"
"yldmtmxh","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g2",120,500,150,350,"exp"
"bjw1ymg6","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g3",165,200,180,150,"exp"
"dxg47gml","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g3",150,500,172,500,"exp"
"t47t8m59","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g3",100,400,100,300,"exp"
"2epyouig","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g3",150,500,150,600,"exp"
"107rd682","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g3",50,275,50,300,"exp"
"6xyzc64h","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g4",130,245,130,130,"exp"
"566nkyxt","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g4",125,120,120,121,"exp"
"uv69jk1p","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g4",70,400,170,200,"exp"
"thfu25ei","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g4",130,330,120,300,"exp"
"008uq8bs","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g4",40,200,100,300,"exp"
"o4da1gkl","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g5",100,300,125,400,"exp"
"ilc2oqlq","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g5",60,400,60,400,"exp"
"qcu0td0m","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g5",67,400,65,553,"exp"
"zcjv164s","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g5",150,280,150,300,"exp"
"3g7fmbdb","M_no_W_no","portfolio_2026-09-16.csv","botno_2","botno_2__g5",150,500,120,500,"exp"
"2vm7punw","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g1",100,150,100,150,"exp"
"wfmrxna9","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g1",100,300,100,300,"exp"
"s57od4iz","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g1",120,400,150,400,"exp"
"sem2q323","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g1",100,600,100,600,"exp"
"pmhhauc6","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g1",150,130,125,450,"exp"
"bc7n6071","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g2",150,450,157,500,"exp"
"j2qhej8d","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g2",150,400,150,400,"exp"
"nt0omp7o","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g2",120,350,130,400,"exp"
"3vy48gux","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g2",80,500,80,450,"exp"
"zzkx5xsm","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g2",100,250,150,300,"exp"
"qd0f31id","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g3",80,300,100,400,"exp"
"gllc2565","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g3",25,300,25,300,"exp"
"k6q3olvt","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g3",150,400,150,400,"exp"
"h7g9h66e","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g3",150,400,150,450,"exp"
"ch700ni6","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g3",85,130,100,140,"exp"
"5doee2qb","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g4",180,550,180,550,"exp"
"fjk39fjv","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g4",200,450,150,400,"exp"
"uv9wmkop","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g4",100,300,100,300,"exp"
"tdb9pvu4","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g4",200,150,200,150,"exp"
"vlzegfsh","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g4",80,450,50,500,"exp"
"vijmhlvg","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g5",100,400,100,200,"exp"
"8e240a8t","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g5",180,250,180,300,"exp"
"djq10sre","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g5",78,130,95,190,"exp"
"1rm0kasi","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g5",125,399,135,367,"exp"
"5ddpdjuo","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_1","MeWno_1__g5",175,500,170,450,"exp"
"cfn8fv6w","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g1",150,250,100,300,"exp"
"a1q00v4p","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g1",100,100,100,300,"exp"
"rucumqi6","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g1",150,450,140,600,"exp"
"lbzqe7lh","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g1",40,300,50,300,"exp"
