"group_uid","player.treatment","subsession.round_number","manager","player.price"
"botno_2__g4","M_no_W_no",6,"exp",375
"botno_2__g5","M_no_W_no",6,"exp",270
"MnoWe_1__g1","M_no_W_exp",6,"exp",400
"MnoWe_1__g2","M_no_W_exp",6,"exp",170
"MnoWe_1__g3","M_no_W_exp",6,"exp",412
"MnoWe_1__g4","M_no_W_exp",6,"exp",450
"MnoWe_1__g5","M_no_W_exp",6,"exp",220
"MnoWe_2__g1","M_no_W_exp",6,"exp",202
"MnoWe_2__g2","M_no_W_exp",6,"exp",300
"MnoWe_2__g3","M_no_W_exp",6,"exp",492
"MnoWe_2__g4","M_no_W_exp",6,"exp",590
"MnoWe_2__g5","M_no_W_exp",6,"exp",350
"MeWno_1__g1","M_exp_W_no",6,"exp",240
"MeWno_1__g2","M_exp_W_no",6,"exp",400
"MeWno_1__g3","M_exp_W_no",6,"exp",310
"MeWno_1__g4","M_exp_W_no",6,"exp",200
"MeWno_1__g5","M_exp_W_no",6,"exp",364
"MeWno_2__g1","M_exp_W_no",6,"exp",75
"MeWno_2__g2","M_exp_W_no",6,"exp",300
"MeWno_2__g3","M_exp_W_no",6,"exp",265
"MeWno_2__g4","M_exp_W_no",6,"exp",348
"MeWno_2__g5","M_exp_W_no",6,"exp",420
"bothe_1__g1","M_exp_W_exp",6,"exp",190
"bothe_1__g2","M_exp_W_exp",6,"exp",300
"bothe_1__g3","M_exp_W_exp",6,"exp",280
"bothe_1__g4","M_exp_W_exp",6,"exp",465
"bothe_1__g5","M_exp_W_exp",6,"exp",297
"bothe_2__g1","M_exp_W_exp",6,"exp",350
"bothe_2__g2","M_exp_W_exp",6,"exp",160
"bothe_2__g3","M_exp_W_exp",6,"exp",141
"bothe_2__g4","M_exp_W_exp",6,"exp",125
"bothe_2__g5","M_exp_W_exp",6,"exp",130
"bothno_1__g1","M_no_W_no",7,"exp",160
"bothno_1__g2","M_no_W_no",7,"exp",280
"bothno_1__g3","M_no_W_no",7,"exp",511
"bothno_1__g4","M_no_W_no",7,"exp",310
"bothno_1__g5","M_no_W_no",7,"exp",450
"botno_2__g1","M_no_W_no",7,"exp",280
"botno_2__g2","M_no_W_no",7,"exp",260
"botno_2__g3","M_no_W_no",7,"exp",399
"botno_2__g4","M_no_W_no",7,"exp",360
"botno_2__g5","M_no_W_no",7,"exp",300
"MnoWe_1__g1","M_no_W_exp",7,"exp",475
"MnoWe_1__g2","M_no_W_exp",7,"exp",170
"MnoWe_1__g3","M_no_W_exp",7,"exp",400
"MnoWe_1__g4","M_no_W_exp",7,"exp",461
"MnoWe_1__g5","M_no_W_exp",7,"exp",210
"MnoWe_2__g1","M_no_W_exp",7,"exp",202
"MnoWe_2__g2","M_no_W_exp",7,"exp",330
"MnoWe_2__g3","M_no_W_exp",7,"exp",490
"MnoWe_2__g4","M_no_W_exp",7,"exp",595
"MnoWe_2__g5","M_no_W_exp",7,"exp",351
"MeWno_1__g1","M_exp_W_no",7,"exp",230
"MeWno_1__g2","M_exp_W_no",7,"exp",410
"MeWno_1__g3","M_exp_W_no",7,"exp",310
"MeWno_1__g4","M_exp_W_no",7,"exp",201
"MeWno_1__g5","M_exp_W_no",7,"exp",367
"MeWno_2__g1","M_exp_W_no",7,"exp",75
"MeWno_2__g2","M_exp_W_no",7,"exp",300
"MeWno_2__g3","M_exp_W_no",7,"exp",266
"MeWno_2__g4","M_exp_W_no",7,"exp",360
"MeWno_2__g5","M_exp_W_no",7,"exp",440
"bothe_1__g1","M_exp_W_exp",7,"exp",202
"bothe_1__g2","M_exp_W_exp",7,"exp",310
"bothe_1__g3","M_exp_W_exp",7,"exp",250
"bothe_1__g4","M_exp_W_exp",7,"exp",460
"bothe_1__g5","M_exp_W_exp",7,"exp",298
"bothe_2__g1","M_exp_W_exp",7,"exp",340
"bothe_2__g2","M_exp_W_exp",7,"exp",160
"bothe_2__g3","M_exp_W_exp",7,"exp",142
"bothe_2__g4","M_exp_W_exp",7,"exp",125
"bothe_2__g5","M_exp_W_exp",7,"exp",132
"bothno_1__g1","M_no_W_no",8,"exp",149
"bothno_1__g2","M_no_W_no",8,"exp",270
"bothno_1__g3","M_no_W_no",8,"exp",550
"bothno_1__g4","M_no_W_no",8,"exp",300
"bothno_1__g5","M_no_W_no",8,"exp",420
"botno_2__g1","M_no_W_no",8,"exp",270
"botno_2__g2","M_no_W_no",8,"exp",240
"botno_2__g3","M_no_W_no",8,"exp",390
"botno_2__g4","M_no_W_no",8,"exp",365
"botno_2__g5","M_no_W_no",8,"exp",300
"MnoWe_1__g1","M_no_W_exp",8,"exp",480
"MnoWe_1__g2","M_no_W_exp",8,"exp",170
"MnoWe_1__g3","M_no_W_exp",8,"exp",420
"MnoWe_1__g4","M_no_W_exp",8,"exp",470
"MnoWe_1__g5","M_no_W_exp",8,"exp",190
"MnoWe_2__g1","M_no_W_exp",8,"exp",202
"MnoWe_2__g2","M_no_W_exp",8,"exp",300
"MnoWe_2__g3","M_no_W_exp",8,"exp",500
"MnoWe_2__g4","M_no_W_exp",8,"exp",590
